ダウンロードした時刻：2024/10/06 23:35:27

,大阪,大阪,大阪,大阪,大阪,大阪,松山,松山,松山,松山,松山,松山
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％),平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1990/1,5.7,8,1,61,8,1,5.7,8,1,65,8,1
1990/2,8.7,8,1,65,8,1,8.6,8,1,72,8,1
1990/3,10.4,8,1,59,8,1,10.5,8,1,65,8,1
1990/4,14.9,8,1,59,8,1,14.4,8,1,63,8,1
1990/5,19.1,8,1,63,8,1,18.5,8,1,67,8,1
1990/6,24.5,8,1,68,8,1,23.8,8,1,72,8,1
1990/7,28.0,8,1,70,8,1,28.0,8,1,71,8,1
1990/8,29.5,8,1,63,8,1,28.2,8,1,70,8,1
1990/9,25.4,8,1,70,8,1,24.8,8,1,75,8,1
1990/10,18.9,8,1,69,8,1,18.1,8,1,73,8,1
1990/11,14.8,8,1,70,8,1,14.6,8,1,72,8,1
1990/12,9.4,8,1,62,8,1,8.4,8,1,65,8,1
1991/1,6.4,8,1,58,8,1,6.2,8,1,60,8,1
1991/2,5.8,8,1,58,8,1,5.7,8,1,61,8,1
1991/3,10.2,8,1,65,8,1,10.1,8,1,74,8,1
1991/4,15.9,8,1,60,8,1,14.8,8,1,70,8,1
1991/5,19.2,8,1,64,8,1,18.0,8,1,71,8,1
1991/6,24.4,8,1,73,8,1,23.5,8,1,79,8,1
1991/7,28.1,8,1,72,8,1,27.5,8,1,72,8,1
1991/8,28.1,8,1,65,8,1,27.1,8,1,71,8,1
1991/9,25.6,8,1,68,8,1,24.9,8,1,71,8,1
1991/10,18.7,8,1,69,8,1,18.3,8,1,68,8,1
1991/11,13.3,8,1,63,8,1,12.7,8,1,65,8,1
1991/12,9.8,8,1,66,8,1,9.4,8,1,72,8,1
1992/1,7.4,8,1,63,8,1,7.3,8,1,66,8,1
1992/2,6.5,8,1,60,8,1,6.6,8,1,61,8,1
1992/3,10.5,8,1,61,8,1,10.1,8,1,74,8,1
1992/4,15.3,8,1,60,8,1,15.2,8,1,63,8,1
1992/5,18.3,8,1,61,8,1,18.1,8,1,64,8,1
1992/6,22.4,8,1,64,8,1,21.2,8,1,71,8,1
1992/7,27.0,8,1,69,8,1,26.0,8,1,72,8,1
1992/8,28.2,8,1,69,8,1,26.9,8,1,76,8,1
1992/9,24.5,8,1,62,8,1,24.1,8,1,67,8,1
1992/10,19.2,8,1,65,8,1,18.3,8,1,68,8,1
1992/11,13.4,8,1,65,8,1,13.0,8,1,68,8,1
1992/12,9.6,8,1,62,8,1,9.1,8,1,66,8,1
1993/1,6.9,8,1,64,8,1,7.1,8,1,68,8,1
1993/2,7.5,8,1,60,8,1,7.4,8,1,62,8,1
1993/3,8.7,8,1,54,8,1,8.5,8,1,61,8,1
1993/4,14.4,8,1,58,8,1,14.1,8,1,58,8,1
1993/5,18.9,8,1,61,8,1,18.0,8,1,68,8,1
1993/6,22.7,8,1,71,8,1,22.2,8,1,77,8,1
1993/7,25.4,8,1,74,8,1,24.9,8,1,80,8,1
1993/8,26.6,8,1,71,8,1,25.7,8,1,78,8,1
1993/9,23.3,8,1,68,8,1,22.3,8,1,77,8,1
1993/10,17.9,8,1,63,8,1,17.0,8,1,69,8,1
1993/11,14.7,8,1,66,8,1,13.9,8,1,73,8,1
1993/12,8.4,8,1,63,8,1,8.5,8,1,66,8,1
1994/1,6.1,8,1,61,8,1,6.0,8,1,65,8,1
1994/2,6.2,8,1,60,8,1,6.4,8,1,62,8,1
1994/3,8.3,8,1,54,8,1,8.2,8,1,61,8,1
1994/4,16.5,8,1,56,8,1,15.6,8,1,65,8,1
1994/5,20.7,8,1,58,8,1,19.9,8,1,61,8,1
1994/6,24.2,8,1,64,8,1,22.6,8,1,72,8,1
1994/7,29.9,8,1,63,8,1,29.1,8,1,66,8,1
1994/8,30.2,8,1,64,8,1,28.9,8,1,65,8,1
1994/9,26.0,8,1,65,8,1,24.9,8,1,64,8,1
1994/10,20.8,8,1,61,8,1,19.6,8,1,66,8,1
1994/11,14.6,8,1,60,8,1,14.6,8,1,68,8,1
1994/12,9.3,8,1,62,8,1,9.5,8,1,66,8,1
1995/1,6.1,8,1,59,8,1,6.2,8,1,59,8,1
1995/2,6.2,8,1,56,8,1,6.2,8,1,59,8,1
1995/3,9.8,8,1,59,8,1,9.7,8,1,64,8,1
